Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
108,04/09/23 00:41:48,51,0.0,160.2,308.133,157.435,160.766,161.793,155.957,155.281,149.034,140.842,136.0,125.088,113.772,105.152,97.793,95.089,92.034,90.248,91.616,174.026,88.6,87.436,84.661,77.933
109,04/09/23 00:42:12,51,45.0,19.8,308.13,153.974,157.299,158.662,152.768,151.641,145.357,137.241,132.159,121.671,109.826,101.214,94.171,92.053,88.766,87.26,88.296,88.694,85.745,83.523,81.827,75.009
110,04/09/23 00:42:30,51,45.0,160.2,308.126,159.268,162.838,163.6,158.108,157.496,151.643,142.572,138.461,127.132,115.442,107.062,99.477,96.658,92.883,91.722,92.926,140.776,89.452,87.975,85.999,79.658
112,04/09/23 00:42:52,51,90.0,19.8,308.123,155.428,158.462,159.298,153.571,153.243,146.572,138.325,132.905,122.717,111.206,103.03,94.889,92.695,89.086,88.399,89.374,90.278,87.174,85.221,83.108,76.158
113,04/09/23 00:43:10,51,90.0,160.2,308.122,163.871,166.511,167.601,161.938,161.51,155.193,146.684,143.656,130.588,119.391,109.978,101.91,99.165,96.496,94.266,95.308,101.033,91.77,90.567,88.413,81.431
115,04/09/23 00:43:33,51,135.0,19.8,308.12,151.906,154.863,156.094,150.584,150.039,144.009,135.699,131.923,119.292,108.853,100.08,93.081,89.946,87.219,85.703,87.447,117.06,84.832,83.008,81.274,74.423
116,04/09/23 00:43:51,51,135.0,160.2,308.114,162.5,165.7,166.188,160.882,160.234,153.711,145.488,139.293,129.169,117.186,108.548,100.21,97.788,94.544,93.144,94.761,94.092,90.815,88.565,87.107,80.663
119,04/09/23 00:45:43,51,0.0,19.8,308.107,154.892,158.628,159.032,153.428,152.94,147.488,138.156,132.633,122.287,111.057,102.168,95.355,92.356,88.846,87.779,88.942,87.753,86.024,84.796,82.61,75.319
120,04/09/23 00:46:01,51,0.0,90.0,308.105,69.641,71.077,71.504,67.797,67.964,65.944,60.224,56.891,50.554,44.914,40.721,37.083,35.31,35.079,36.014,40.749,43.612,40.926,39.927,39.045,30.651
121,04/09/23 00:46:18,51,0.0,160.2,308.104,155.275,159.038,158.782,153.637,153.888,147.47,139.049,134.168,123.176,111.467,102.699,96.259,93.112,89.997,88.601,90.233,169.85,87.21,85.798,83.958,76.497
